date,precip_mm,runoff_mm,snow_depth_m,snowfall_mm_we,solar_radiation_mj_m2,system:time_start,temp_max_c,temp_mean_c,temp_min_c,observation_count,missing_data_flag,precip_3d_mm,precip_7d_mm,precip_30d_mm,positive_degree_days,freeze_thaw_cycle,month_day,temp_anomaly_c
1995-05-10,3.4560452331379214,5.704621685423707,3.2182225892444802,0.08719400971351922,28.903053268121038,800064000000,5.0619953764902945,1.145433605050048,-6.001873152193911,1,False,8.544884499623508,11.615591978000555,50.21644316344587,1.145433605050048,1,05-10,0.8049087158702046
1995-05-11,14.170998963019446,8.601474408571523,3.212288663444903,6.256393982093575,25.360892099929625,800150400000,6.832341076436827,3.287021481887369,-5.463890869226507,1,False,21.454345277095264,25.200815617292307,62.51552840233461,3.287021481887369,1,05-11,2.867696715734447
1995-05-12,5.281320797314869,7.121878855040508,3.204434213407884,0.036892179009110716,27.018492140745956,800236800000,6.584427240681791,3.517292143687292,-0.2864335362798584,1,False,22.90836499347222,29.511524472636893,66.37088232621801,3.517292143687292,1,05-12,2.946290891486334
1995-05-13,11.59805095715398,11.233750067488733,3.1801128848293083,0.7646379298953254,26.270287475017597,800323200000,7.183272280280333,4.809138742277354,0.8669303834983844,1,False,31.050370717488278,40.53746659167177,77.46315049690452,4.809138742277354,0,05-13,4.135675381284132
1995-05-14,12.201469788414705,13.288724158197786,3.1587885356189895,0.829960398486095,22.749404261787475,800409600000,8.535455891383046,5.06166992232245,2.2272631543862387,1,False,29.080841542883533,51.79672500552656,88.38754041644106,5.06166992232245,0,05-14,4.038362535436402
1995-05-15,8.841236970694784,10.754800404905014,3.136445960220025,0.1599476800511875,22.56584791977481,800496000000,8.061637573456972,4.914119344805731,0.6124306621726234,1,False,32.640757716263444,59.376423790673655,96.29221045653698,4.914119344805731,0,05-15,3.6416568882552744
1995-05-16,10.44364848202337,11.851054652319418,3.1135929402067934,0.015196220701551204,24.002888288529206,800582400000,9.092469878871224,5.567258945530435,0.6024009774387489,1,False,31.486355241132834,65.9927711917591,104.53121127001812,5.567258945530435,0,05-16,4.107983044300834
1995-05-17,36.412511786054594,18.685157039188987,3.1272863915568925,12.267708607977502,16.92254595355384,800668800000,7.54817912284966,5.131087102225621,2.53183366317805,1,False,55.69739723877272,98.94923774467577,140.55762978402979,5.131087102225621,0,05-17,3.507740444340886
1995-05-18,15.120837587403495,12.19122455750948,3.139031585829376,3.398335802930497,22.34158128782548,800755200000,7.65049560675734,5.196941719976879,3.471844893689753,1,False,61.976997855481436,99.89907636905983,155.0967417659597,5.196941719976879,0,05-18,3.494810712306464
1995-05-19,3.150810645252505,5.189367865568143,3.134986886389793,1.6712923976609106,25.516691893033073,800841600000,6.162233454404312,3.1024608828611724,-1.3608708810504042,1,False,54.68416001871057,97.76856621699746,157.71788071753403,3.1024608828611724,1,05-19,1.2689247143918
1995-05-20,0.966803073086091,3.07591611297931,3.1182641126224198,0.3198036736560321,27.575160458831817,800928000000,5.904947039008919,2.542046720937441,-2.02861990878313,1,False,19.238451305742068,87.13731833292958,149.30222938467884,2.542046720937441,1,05-20,0.6079843295235345
1995-05-21,0.8477708807792652,3.2323826101780946,3.1044039206132332,0.5425269414659624,27.847238648135118,801014400000,5.501165940072004,1.9721018922516518,-2.07323132487435,1,False,4.96538459911784,75.78361942529413,149.51138896642843,1.9721018922516518,1,05-21,-0.01920453629345209
1995-05-22,0.5663771846584135,2.9099079387696336,3.092901549763224,0.4472905870875701,29.221111211822663,801100800000,4.843683543195216,1.5895548224309577,-2.4062567907517036,1,False,2.3809511385237485,67.50875963925776,148.38896782652336,1.5895548224309577,1,05-22,-0.6897662826463424
1995-05-23,1.1786400501449414,3.4445126991218284,3.0820285153730143,0.7362054473472096,28.890864073891628,801187200000,5.235703326446105,2.2192433985639455,-1.780724333106065,1,False,2.5927881155825987,58.24375120737933,145.16240746165894,2.2192433985639455,1,05-23,-0.11643528004305592
1995-05-24,0.7407601454003185,4.206129398923119,3.0693921190512845,0.32156594045182335,28.71530834342013,801273600000,5.925340093818059,2.3792486136658337,-2.0138687885453326,1,False,2.4857773802036522,22.571999566725058,144.36936227926125,2.3792486136658337,1,05-24,-0.30521293008338635
1995-05-25,0.34035952034526745,4.281799493122906,3.055046079753291,0.08566655942162187,29.858826319493318,801360000000,6.578793016040457,2.465484884191856,-2.9412882161257667,1,False,2.259759715890506,7.791521499666831,142.92613245208858,2.465484884191856,1,05-25,-0.28181752246367164
1995-05-26,0.3051369164814719,4.731435777015203,3.0400599516139963,0.01546711038947525,30.98789112033779,801446400000,7.452474913305189,3.28671653473741,-3.2938742415490347,1,False,1.3862565822270365,4.9458477708957975,139.87502817588242,3.28671653473741,1,05-26,0.49377436783982853
1995-05-27,0.08281289922947788,5.1427293754983,3.02483931847254,0.0035292183866306222,30.90528213370866,801532800000,8.352903143005609,3.719704727720516,-2.151423448512936,1,False,0.7283093360561959,4.061857597039184,138.460189921939,3.719704727720516,1,05-27,0.9211867583023987
1995-05-28,0.3472879004665583,5.427927539056662,3.009161501514668,0.005790207438029343,29.39965008444757,801619200000,8.599562316507983,3.960325937452345,-1.8691580840183706,1,False,0.7352377161774868,3.5613746167264773,137.57673917755898,3.960325937452345,1,05-28,1.0660696938563503
1995-05-29,0.5638762941451674,5.579179400587318,2.9939899914370383,0.014108245868568771,27.955340608022517,801705600000,7.58248821475993,3.7885040890798756,-2.455236440573984,1,False,0.9939770938411823,3.558873726213231,137.9532133124743,3.7885040890798756,1,05-29,0.7951139324135301
